Elephant_seal_ID,Sex,ProcedureDate,ForagingBloodPairedSubset,ForagingHairPairedSubset,ForagingMusclePairedSubset,FastingBloodPairedSubset,FastingHairPairedSubset,FastingMusclePairedSubset,Foraging_Trip,TimePeriod_Cross_Foraging_Analysis,Fasting_Period,TimePeriod_Cross_Fasting_Analysis,Mass_Procedure_kg,Standard_Length_cm,Blood_THg_ppm_ww,Muscle_THg_ppm_dw,Hair_THg_ppm_dw
S126,Female,5/3/13,Yes,Yes,No,No,No,No,Post-breeding foraging trip,Post-foraging,NA,NA,459,279,0.52,NA,16.81
T379,Female,4/23/13,Yes,Yes,Yes,Yes,Yes,Yes,Post-breeding foraging trip,Post-foraging,Molting,Early Fasting,430,266,0.5,6.45,15.21
U256,Female,4/13/13,Yes,Yes,Yes,Yes,Yes,Yes,Post-breeding foraging trip,Post-foraging,Molting,Early Fasting,429,276,0.55,8.04,10.82
U481,Female,5/16/13,Yes,Yes,Yes,Yes,Yes,Yes,Post-breeding foraging trip,Post-foraging,Molting,Early Fasting,357,252,0.21,3.03,9.15
U754,Female,4/21/13,Yes,Yes,Yes,No,No,No,Post-breeding foraging trip,Post-foraging,NA,NA,399,NA,0.4,5.42,16.66
U848,Female,4/22/13,Yes,Yes,Yes,Yes,Yes,Yes,Post-breeding foraging trip,Post-foraging,Molting,Early Fasting,433,277,0.64,8.75,12.64
VX518,Female,5/13/13,Yes,Yes,No,No,No,No,Post-breeding foraging trip,Post-foraging,NA,NA,395,262,0.43,NA,10.9
X334,Female,4/14/13,Yes,Yes,Yes,No,No,No,Post-breeding foraging trip,Post-foraging,NA,NA,361,267,0.26,4.18,10.5
X349,Female,5/7/13,Yes,Yes,Yes,Yes,Yes,Yes,Post-breeding foraging trip,Post-foraging,Molting,Early Fasting,366,257,0.43,6.02,15
X387,Female,4/28/13,Yes,Yes,No,Yes,Yes,Yes,Post-breeding foraging trip,Post-foraging,Molting,Early Fasting,388,269,0.33,NA,9.14
1317,Female,1/30/13,Yes,Yes,Yes,No,No,No,Post-breeding foraging trip,Pre-foraging,NA,NA,387,291,0.65,5.44,18.68
2161,Female,2/12/13,Yes,Yes,Yes,No,No,No,Post-breeding foraging trip,Pre-foraging,NA,NA,493,283,0.27,4.05,16.74
4534,Female,2/11/13,Yes,Yes,Yes,No,No,No,Post-breeding foraging trip,Pre-foraging,NA,NA,301,257,0.41,3.31,12.27
5777,Male,2/25/13,No,No,No,Yes,Yes,Yes,NA,NA,Breeding,Last fasting,NA,390,0.38,5.15,18.29
5795,Male,2/26/13,No,No,No,Yes,Yes,No,NA,NA,Breeding,Last fasting,NA,400,0.69,NA,12.46
O18129,Female,2/7/13,Yes,Yes,Yes,No,No,No,Post-breeding foraging trip,Pre-foraging,NA,NA,349,268,0.59,4.98,4.96
S105,Female,1/28/13,No,No,No,Yes,Yes,Yes,NA,NA,Breeding,Last fasting,381,265,0.66,6.11,18.28
S126,Female,2/14/13,Yes,Yes,No,Yes,Yes,No,Post-breeding foraging trip,Pre-foraging,Breeding,Last fasting,421,288,0.77,NA,23.88
T379,Female,2/4/13,Yes,Yes,Yes,Yes,Yes,Yes,Post-breeding foraging trip,Pre-foraging,Breeding,Last fasting,347,261,0.75,4.96,19.04
U17,Female,1/19/13,No,No,No,Yes,Yes,Yes,NA,NA,Breeding,Last fasting,296,252,0.6,5.12,18.5
U256,Female,2/8/13,Yes,Yes,Yes,No,No,No,Post-breeding foraging trip,Pre-foraging,NA,NA,357,270,0.85,5.17,9.59
U398,Female,2/21/13,No,No,No,Yes,Yes,Yes,NA,NA,Breeding,Last fasting,319,262,0.54,4.56,12.45
U458,Female,2/3/13,No,No,No,Yes,Yes,Yes,NA,NA,Breeding,Last fasting,272,249,0.65,5.07,15.55
U481,Female,2/18/13,Yes,Yes,Yes,No,No,No,Post-breeding foraging trip,Pre-foraging,NA,NA,274,253,0.37,3.93,9.67
U604,Female,1/22/13,No,No,No,Yes,Yes,Yes,NA,NA,Breeding,Last fasting,350,270,0.83,5.34,20.8
U754,Female,2/10/13,Yes,Yes,Yes,Yes,Yes,Yes,Post-breeding foraging trip,Pre-foraging,Breeding,Last fasting,342,265,0.56,4.63,22.5
U848,Female,1/30/13,Yes,Yes,Yes,Yes,Yes,Yes,Post-breeding foraging trip,Pre-foraging,Breeding,Last fasting,352,271,1.08,7.04,16.37
VX518,Female,2/17/13,Yes,Yes,No,No,No,No,Post-breeding foraging trip,Pre-foraging,NA,NA,333,266,0.59,NA,16.96
X334,Female,2/4/13,Yes,Yes,Yes,No,No,No,Post-breeding foraging trip,Pre-foraging,NA,NA,302,258,0.38,2.82,11.7
X349,Female,2/13/13,Yes,Yes,Yes,Yes,Yes,Yes,Post-breeding foraging trip,Pre-foraging,Breeding,Last fasting,317,257,0.75,6.76,17.7
X387,Female,2/10/13,Yes,Yes,No,No,No,No,Post-breeding foraging trip,Pre-foraging,NA,NA,310,270,0.46,NA,10.2
1326,Female,1/19/12,Yes,Yes,Yes,No,No,No,Post-molt foraging trip,Post-foraging,NA,NA,469,274,0.23,4.05,10.55
1775,Female,2/3/12,Yes,Yes,Yes,No,No,No,Post-molt foraging trip,Post-foraging,NA,NA,499,265,0.43,6.19,19.7
2036,Female,2/1/12,Yes,Yes,Yes,No,No,No,Post-molt foraging trip,Post-foraging,NA,NA,571,280,0.41,3.93,17.6
3249,Female,1/29/12,Yes,Yes,Yes,No,No,No,Post-molt foraging trip,Post-foraging,NA,NA,409,253,0.33,5.19,13.97
3373,Female,2/5/12,Yes,Yes,Yes,No,No,No,Post-molt foraging trip,Post-foraging,NA,NA,446,264,0.46,6.56,21.35
3874,Female,1/17/12,Yes,Yes,Yes,No,No,No,Post-molt foraging trip,Post-foraging,NA,NA,441,262,0.32,5.02,17.21
6143,Male,1/8/12,Yes,Yes,No,No,No,No,Post-molt foraging trip,Post-foraging,NA,NA,NA,368,0.23,NA,9.33
6377,Male,1/5/12,No,No,No,Yes,Yes,Yes,NA,NA,Breeding,Early Fasting,NA,402,0.44,4.28,11.73
6379,Male,1/4/12,No,No,No,Yes,Yes,No,NA,NA,Breeding,Early Fasting,NA,385,0.22,4.03,5.6
6381,Male,1/4/12,No,No,No,No,Yes,Yes,NA,NA,Breeding,Early Fasting,NA,420,0.56,7.37,7.39
6384,Male,1/4/12,No,No,No,Yes,Yes,Yes,NA,NA,Breeding,Early Fasting,NA,380,0.75,6.93,20.49
6387,Male,1/3/12,No,No,No,Yes,Yes,Yes,NA,NA,Breeding,Early Fasting,NA,432,1.06,13.76,39.68
6421,Male,1/8/12,No,No,No,Yes,Yes,No,NA,NA,Breeding,Early Fasting,NA,410,0.56,NA,19.74
R426,Female,1/30/12,Yes,Yes,Yes,No,No,No,Post-molt foraging trip,Post-foraging,NA,NA,552,283,0.6,7.5,24.47
T167,Female,1/12/12,Yes,Yes,Yes,No,No,No,Post-molt foraging trip,Post-foraging,NA,NA,440,267,0.51,5.76,12.53
T313,Female,1/22/12,Yes,Yes,No,No,No,No,Post-molt foraging trip,Post-foraging,NA,NA,465,271,0.41,NA,9.24
T35,Female,2/5/12,Yes,Yes,No,No,No,No,Post-molt foraging trip,Post-foraging,NA,NA,508,273,0.55,NA,7.86
T730,Female,1/25/12,Yes,Yes,Yes,No,No,No,Post-molt foraging trip,Post-foraging,NA,NA,393,255,0.33,5.62,11.87
T891,Female,1/29/12,Yes,Yes,Yes,No,No,No,Post-molt foraging trip,Post-foraging,NA,NA,461,263,0.29,2.87,13.23
